ticker,source,category,tco2e,year,reference
XOM,ClimateTRACE,combustion,1447743.3333333333,,"Climate TRACE v7 sources 2024, verified owner, equal split"
XOM,ClimateTRACE,process,27082895.41916076,,"Climate TRACE v7 sources 2024, verified owner, equal split"
FDX,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
FDX,Wikirate/GRI,combustion,15406173.0,,Wikirate GRI 305-1 / 305-2
FDX,Wikirate/GRI,process,0.0,,Wikirate GRI 305-1 / 305-2
FDX,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
FDX,Wikirate/GRI,scope2,995988.0,,Wikirate GRI 305-1 / 305-2
FE,GHGRP,combustion,15258135.972,2023.0,EPA GHGRP 2023 data summary spreadsheets
FE,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
FE,GHGRP,fugitive,80315.166,2023.0,EPA GHGRP 2023 data summary spreadsheets
FE,Wikirate/GRI,scope2,3600000.0,,Wikirate GRI 305-1 / 305-2
FISV,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
FISV,Wikirate/GRI,combustion,19127.2007818336,,Wikirate GRI 305-1 / 305-2
FISV,Wikirate/GRI,process,0.0,,Wikirate GRI 305-1 / 305-2
FISV,Wikirate/GRI,fugitive,160.79921816640044,,Wikirate GRI 305-1 / 305-2
FISV,Wikirate/GRI,scope2,121968.0,,Wikirate GRI 305-1 / 305-2
F,GHGRP,combustion,497625.124,2023.0,EPA GHGRP 2023 data summary spreadsheets
F,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
F,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
F,Wikirate/GRI,scope2,1360000.0,,Wikirate GRI 305-1 / 305-2
FCX,GHGRP,combustion,260273.666,2023.0,EPA GHGRP 2023 data summary spreadsheets
FCX,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
