ticker,cik,adsh,period,status,filing_url
LMT,936468,0001628280-26-004195,20251231,tagged,https://www.sec.gov/Archives/edgar/data/936468/000162828026004195/
LOW,60667,0000060667-26-000029,20260131,tagged,https://www.sec.gov/Archives/edgar/data/60667/000006066726000029/
LULU,1397187,0001397187-26-000020,20260131,tagged,https://www.sec.gov/Archives/edgar/data/1397187/000139718726000020/
LYB,1489393,0001489393-26-000012,20251231,untagged,https://www.sec.gov/Archives/edgar/data/1489393/000148939326000012/
MPC,1510295,0001510295-26-000009,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1510295/000151029526000009/
MAR,1048286,0001048286-26-000007,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1048286/000104828626000007/
MLM,916076,0001193125-26-059193,20251231,tagged,https://www.sec.gov/Archives/edgar/data/916076/000119312526059193/
MAS,62996,0000062996-26-000005,20251231,tagged,https://www.sec.gov/Archives/edgar/data/62996/000006299626000005/
MKC,63754,0000063754-26-000037,20251130,tagged,https://www.sec.gov/Archives/edgar/data/63754/000006375426000037/
MCD,63908,0000063908-26-000035,20251231,tagged,https://www.sec.gov/Archives/edgar/data/63908/000006390826000035/
MGM,789570,0000789570-26-000018,20251231,tagged,https://www.sec.gov/Archives/edgar/data/789570/000078957026000018/
TAP,24545,0000024545-26-000006,20251231,tagged,https://www.sec.gov/Archives/edgar/data/24545/000002454526000006/
MDLZ,1103982,0001628280-26-005345,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1103982/000162828026005345/
MNST,865752,0001104659-26-020831,20251231,tagged,https://www.sec.gov/Archives/edgar/data/865752/000110465926020831/
MOS,1285785,0001285785-26-000017,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1285785/000128578526000017/
NEM,1164727,0001164727-26-000010,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1164727/000116472726000010/
NEE,753308,0000753308-26-000015,20251231,untagged,https://www.sec.gov/Archives/edgar/data/753308/000075330826000015/
NKE,320187,0000320187-25-000047,20250531,tagged,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/
NI,1111711,0001111711-26-000027,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1111711/000111171126000027/
NDSN,72331,0000072331-25-000144,20251031,tagged,https://www.sec.gov/Archives/edgar/data/72331/000007233125000144/
NSC,702165,0001628280-26-006268,20251231,tagged,https://www.sec.gov/Archives/edgar/data/702165/000162828026006268/
NOC,1133421,0001133421-26-000003,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1133421/000113342126000003/
NCLH,1513761,0001104659-26-022067,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1513761/000110465926022067/
NRG,1013871,0001013871-26-000004,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1013871/000101387126000004/
NUE,73309,0001193125-26-071575,20251231,tagged,https://www.sec.gov/Archives/edgar/data/73309/000119312526071575/
NVR,906163,0000906163-26-000018,20251231,tagged,https://www.sec.gov/Archives/edgar/data/906163/000090616326000018/
