ticker,segment,revenue,share,class,fiscal_year,filing_url,method
RSG,CollectionServiceLineSmallcontainer,5055000000.0,0.17607105538140022,neutral,2025,https://www.sec.gov/Archives/edgar/data/1060391/000106039126000094/,xbrl
RSG,OtherServiceLineOtherNoncore,391000000.0,0.013618948101706722,neutral,2025,https://www.sec.gov/Archives/edgar/data/1060391/000106039126000094/,xbrl
RSG,CollectionServiceLineOther,70000000.0,0.0024381748519679554,neutral,2025,https://www.sec.gov/Archives/edgar/data/1060391/000106039126000094/,xbrl
RSG,CollectionServiceLine,11233000000.0,0.3912574016022292,neutral,2025,https://www.sec.gov/Archives/edgar/data/1060391/000106039126000094/,xbrl
RSG,CollectionServiceLineResidential,3010000000.0,0.10484151863462209,neutral,2025,https://www.sec.gov/Archives/edgar/data/1060391/000106039126000094/,xbrl
ROK,ProductsandSolutions,7364000000.0,0.8827619275953009,beneficiary,2025,https://www.sec.gov/Archives/edgar/data/1024478/000102447825000116/,xbrl
ROK,Service,978000000.0,0.1172380724046991,beneficiary,2025,https://www.sec.gov/Archives/edgar/data/1024478/000102447825000116/,xbrl
ROL,Franchise,16034000.0,0.004263171188896717,neutral,2025,https://www.sec.gov/Archives/edgar/data/84839/000008483926000008/,xbrl
ROL,CommercialRevenue,1244733000.0,0.3309535900878744,neutral,2025,https://www.sec.gov/Archives/edgar/data/84839/000008483926000008/,xbrl
ROL,OtherRevenues,25497000.0,0.006779223886946464,neutral,2025,https://www.sec.gov/Archives/edgar/data/84839/000008483926000008/,xbrl
ROL,ResidentialRevenue,1693244000.0,0.45020512888687997,neutral,2025,https://www.sec.gov/Archives/edgar/data/84839/000008483926000008/,xbrl
ROL,TermiteAndAncillaryRevenues,781542000.0,0.20779888594940243,neutral,2025,https://www.sec.gov/Archives/edgar/data/84839/000008483926000008/,xbrl
ROST,ReportableSegment,22750559000.0,1.0,neutral,2026,https://www.sec.gov/Archives/edgar/data/745732/000074573226000006/,xbrl
RCL,ProductAndServiceOther,5419000000.0,0.14579353762544056,neutral,2025,https://www.sec.gov/Archives/edgar/data/884887/000088488726000007/,xbrl
RCL,OtherProductsAndServices,864000000.0,0.02324517743280691,neutral,2025,https://www.sec.gov/Archives/edgar/data/884887/000088488726000007/,xbrl
RCL,Passenger,12515000000.0,0.3367053189485862,neutral,2025,https://www.sec.gov/Archives/edgar/data/884887/000088488726000007/,xbrl
RCL,PortCosts,1300000000.0,0.034975382711399286,neutral,2025,https://www.sec.gov/Archives/edgar/data/884887/000088488726000007/,xbrl
RCL,CruiseItinerary,17071000000.0,0.4592805832817671,neutral,2025,https://www.sec.gov/Archives/edgar/data/884887/000088488726000007/,xbrl
SLB,Product,14508000000.0,0.40629550800940967,exposed,2025,https://www.sec.gov/Archives/edgar/data/87347/000119312526021017/,xbrl
SLB,Service,21200000000.0,0.5937044919905904,exposed,2025,https://www.sec.gov/Archives/edgar/data/87347/000119312526021017/,xbrl
SRE,SempraInfrastructure,1965000000.0,0.14256693027642747,exposed,2025,https://www.sec.gov/Archives/edgar/data/1032208/000103220826000010/,xbrl
SRE,SempraCalifornia,11818000000.0,0.8574330697235725,electricity_generation,2025,https://www.sec.gov/Archives/edgar/data/1032208/000103220826000010/,xbrl
SHW,PaintStoresGroup,13605900000.0,0.46945549525054947,neutral,2025,https://www.sec.gov/Archives/edgar/data/89800/000008980026000008/,xbrl
SHW,ConsumerBrandsGroup,8554600000.0,0.29516636015775144,neutral,2025,https://www.sec.gov/Archives/edgar/data/89800/000008980026000008/,xbrl
SHW,PerformanceCoatingsGroup,6821800000.0,0.23537814459169906,neutral,2025,https://www.sec.gov/Archives/edgar/data/89800/000008980026000008/,xbrl
