ticker,adsh,ddate,axis,tag,member,revenue,filing_url
CLX,0000021076-25-000039,20250630,BusinessSegments,RevenueFromContractWithCustomerExcludingAssessedTax,Household,2001000000.0,https://www.sec.gov/Archives/edgar/data/21076/000002107625000039/
CLX,0000021076-25-000039,20250630,BusinessSegments,RevenueFromContractWithCustomerExcludingAssessedTax,HealthAndWellness,2697000000.0,https://www.sec.gov/Archives/edgar/data/21076/000002107625000039/
CMS,0000811156-26-000004,20251231,BusinessSegments,Revenues,NorthStarCleanEnergy,408000000.0,https://www.sec.gov/Archives/edgar/data/811156/000081115626000004/
CMS,0000811156-26-000004,20251231,BusinessSegments,Revenues,ElectricUtility,5638000000.0,https://www.sec.gov/Archives/edgar/data/811156/000081115626000004/
CMS,0000811156-26-000004,20251231,BusinessSegments,Revenues,GasUtility,2493000000.0,https://www.sec.gov/Archives/edgar/data/811156/000081115626000004/
KO,0001628280-26-010047,20251231,ProductOrService,Revenues,ConcentrateOperations,28462000000.0,https://www.sec.gov/Archives/edgar/data/21344/000162828026010047/
KO,0001628280-26-010047,20251231,ProductOrService,Revenues,FinishedProductOperations,19479000000.0,https://www.sec.gov/Archives/edgar/data/21344/000162828026010047/
CL,0000021665-26-000006,20251231,BusinessSegments,RevenueFromContractWithCustomerExcludingAssessedTax,OralPersonalAndHomeCare,15769000000.0,https://www.sec.gov/Archives/edgar/data/21665/000002166526000006/
CL,0000021665-26-000006,20251231,BusinessSegments,RevenueFromContractWithCustomerExcludingAssessedTax,PetNutrition,4613000000.0,https://www.sec.gov/Archives/edgar/data/21665/000002166526000006/
FIX,0001104659-26-017530,20251231,ProductOrService,Revenues,ElectricalSegment,2427896000.0,https://www.sec.gov/Archives/edgar/data/1035983/000110465926017530/
FIX,0001104659-26-017530,20251231,ProductOrService,Revenues,MechanicalSegment,6673745000.0,https://www.sec.gov/Archives/edgar/data/1035983/000110465926017530/
COP,0001163165-26-000009,20251231,BusinessSegments,Revenues,AsiaPacificOperatingSegment,1770000000.0,https://www.sec.gov/Archives/edgar/data/1163165/000116316526000009/
COP,0001163165-26-000009,20251231,BusinessSegments,Revenues,LowerFortyEightSegment,41395000000.0,https://www.sec.gov/Archives/edgar/data/1163165/000116316526000009/
COP,0001163165-26-000009,20251231,BusinessSegments,Revenues,AlaskaSegment,5638000000.0,https://www.sec.gov/Archives/edgar/data/1163165/000116316526000009/
COP,0001163165-26-000009,20251231,BusinessSegments,Revenues,CanadaOperatingSegment,3625000000.0,https://www.sec.gov/Archives/edgar/data/1163165/000116316526000009/
COP,0001163165-26-000009,20251231,BusinessSegments,Revenues,EuropeMiddleEastAndNorthAfricaSegment,6484000000.0,https://www.sec.gov/Archives/edgar/data/1163165/000116316526000009/
ED,0001047862-26-000031,20251231,ProductOrService,Revenues,OilAndGasPurchased,3610000000.0,https://www.sec.gov/Archives/edgar/data/1047862/000104786226000031/
ED,0001047862-26-000031,20251231,ProductOrService,Revenues,NonUtilityProductsAndServices,3000000.0,https://www.sec.gov/Archives/edgar/data/1047862/000104786226000031/
ED,0001047862-26-000031,20251231,ProductOrService,Revenues,Steam,703000000.0,https://www.sec.gov/Archives/edgar/data/1047862/000104786226000031/
ED,0001047862-26-000031,20251231,ProductOrService,Revenues,Electricity,12602000000.0,https://www.sec.gov/Archives/edgar/data/1047862/000104786226000031/
ED,0001047862-26-000031,20251231,ProductOrService,Revenues,ProductAndServiceOther,-131000000.0,https://www.sec.gov/Archives/edgar/data/1047862/000104786226000031/
